,Recipe_Name,Ingredients,Dish_Name
55,Apple Pie_2,"pie,flour,sugar,cinnamon,apple,milk",apple_pie
56,Apple Pie_3,"butter,flour,sugar,brown",apple_pie
57,Apple Pie_4,"apple,pie,butter,cinnamon",apple_pie
58,Brown Bag Apple Pie,"pie,apple,sugar,flour,cinnamon,lemon,butter",apple_pie
59,Apple Pie_5,"pie,corn",apple_pie
60,Classic Apple Pie_2,"pie,apple,sugar,flour,cinnamon,salt,nut,lemon",apple_pie
61,Magically Fast Apple Pie,"pie,apple,cinnamon,water,vanilla",apple_pie
62,Mug Apple Pie,"apple,brown",apple_pie
63,Crustless Apple Pie,"apple,lemon,honey,cinnamon,nut,cloves,apple,margarine,corn",apple_pie
64,Apple Pie_6,"flour,sugar,salt,oil,milk,apple,cinnamon,butter",apple_pie
65,Apple Pie_7,"apple,lemon,flour,vanilla,nut,cinnamon,brown",apple_pie
66,Apple Pie_8,"apple,butter,flour,sugar,brown",apple_pie
67,Apple Pie_9,"pie,apple,sugar,flour,lemon,cinnamon,nut,salt,butter",apple_pie
68,Apple Pie_10,"apple,margarine,flour,water,oats,sugar,corn",apple_pie
69,Homemade Apple Pie,"flour,salt,oil,cold",apple_pie
70,Szarlotka (Polish Apple Pie),"flour,sugar,baking,butter,egg,egg,apple,cinnamon",apple_pie
71,Simple Apple Pie,"apple,sugar,cinnamon,flour,butter,flour,salt,cold",apple_pie
72,Apple Pie_11,"apple,brown",apple_pie
73,Apple Pie_12,"apple,sugar,water,butter,caster",apple_pie
74,Mom's Apple Pie,"crust,sugar,flour,cinnamon,nut,salt,apple,butter",apple_pie
75,Apple Pie_13,"flour,salt,sugar,butter,ice",apple_pie
76,Apple Pie_14,"apple,flour,sugar,salt,gin,cinnamon,pie",apple_pie
77,Apple Pie_15,"apple,lemon,sugar,flour,cinnamon,nut,butter,salt,butter,ice",apple_pie
78,Traditional Apple Pie,"apple,butter,maple,sugar,cinnamon,apple,flour,pie",apple_pie
79,Apple Pie_16,"apple,sugar,flour,cinnamon,nut,butter,vanilla",apple_pie
80,Skinny Apple Pie,"apple,sugar,cinnamon,whipped",apple_pie
82,German Apple Pie,"apple,sugar,flour,salt,cinnamon,pie",apple_pie
83,Perfect Apple Pie_2,"apple,water,crust,sugar,cinnamon,salt,corn",apple_pie
84,Apple Pie_17,"apple,flour,sugar,lemon,cinnamon,egg,ice",apple_pie
86,Slab Apple Pie with Easy Crumb Top,"pie,apple,sugar,lemon,cinnamon,flour,butter,brown",apple_pie
87,Apple Pie For One,"apple,sugar,cinnamon,lemon,flour,salt,butter,ice",apple_pie
88,Classic Apple Pie_3,"pie,apple,sugar,corn",apple_pie
90,Easy Apple Pie,"nut,cinnamon,apple,sugar,flour,cinnamon,nut,butter,pie",apple_pie
91,Homestyle Apple Pie,"shell,pie,sugar,flour,cinnamon,apple,lemon,butter,milk",apple_pie
92,Classic American Apple Pie,"flour,ice",apple_pie
93,Perfect Apple Pie_3,"pie,apple,sugar,flour,cinnamon,salt,nut,lemon",apple_pie
94,Placatory Pregnancy Apple Pie,"flour,caster",apple_pie
95,The Best Apple Pie,"flour,salt,shortening,sugar,nut,cinnamon,apple,butter",apple_pie
96,Perfect Apple Pie_4,"pie,apple,sugar,flour,cinnamon,salt,nut,vanilla,lemon",apple_pie
97,Raw Apple Pie,"apple,lemon,cinnamon,date,nut",apple_pie
98,Croque Madame,"butter,flour,milk,salt,nut,cheese,bread,dijon",croque_madame
100,Croque Madame_2,"mayonnaise,dijon",croque_madame
101,Croque Madame_3,"bread,butter,ham,cheese,egg,flour,milk,cheese,nut,dijon",croque_madame
102,Croque Madame_4,"bread,butter,ham,cheese,egg,flour,milk,cheese,nut,dijon",croque_madame
103,Croque Madame_5,"flour,butter,milk,salt,pepper,waffle,dijon",croque_madame
105,Croque Madame_6,"bread,mustard,cheese,ham,butter,butter,egg",croque_madame
106,Croque Madame_7,"cheese,butter,flour,milk,cheese,salt,nut,egg,bread,ham,chives",croque_madame
107,Croque Madame_8,"bread,butter,ham,cheese,egg,flour,milk,cheese,nut,dijon",croque_madame
108,Croque Madame_9,"bread,butter,ham,cheese,egg,flour,milk,cheese,nut,dijon",croque_madame
109,Croque Madame_10,"bread,butter,ham,cheese,egg,flour,milk,cheese,nut,dijon",croque_madame
110,Spicy Croque Madame,"butter,onion,flour,salt,pepper,milk,egg,cheddar,bacon,bread,mayonnaise",croque_madame
111,Croque Monsieur & Croque Madame,"butter,garlic,flour,milk,cheese,bread,salt,pepper,ham,egg",croque_madame
112,Croque Madame_11,"butter,flour,milk,salt,nut,cheese,cheese,ham,cheese,dijon",croque_madame
113,Croque Madame Sandwiches,"butter,bread,cheese,ham,salt,pepper,egg",croque_madame
114,Croque Madame Muffins,"butter,flour,milk,nut,dijon",croque_madame
115,Croque Madame_12,"bread,ham,cheese,butter,egg,black",croque_madame
116,Croque Madame_13,"bread,gin,cheese,dijon",croque_madame
117,Croque Madame_14,"butter,flour,milk,nut,cheese,cheese,egg,chicken,bread,mustard",croque_madame
118,Magnificent Croque Madames,"bread,fig,butter,flour,milk,salt,pepper,nut,grain,prosciutto,cheese,egg",croque_madame
120,Croque Madame Muffins_2,"flour,milk,dijon",croque_madame
121,Croque Madame_15,"butter,cheddar,bread,ham,egg",croque_madame
122,Miso Croque Madame,"bacon,miso,flour,milk,bread,egg,black",croque_madame
123,Croque Madame Muffins_3,"butter,flour,milk,dijon",croque_madame
124,Croque Madame_16,"butter,flour,milk,salt,bay",croque_madame
125,Croque Madame_17,"bread,gin,dijon",croque_madame
126,Smoked Salmon Croque Madames,"butter,flour,milk,pepper,salt,bread,dijon",croque_madame
127,Ham and Gruyere Croque Madame,"butter,flour,milk,cheese,dijon",croque_madame
129,Croque Madame Brunch Sandwiches,"butter,flour,milk,nut,salt,pepper,cheese,cheese,dijon",croque_madame
130,Croque Madame Muffins_4,"butter,flour,milk,nut,dijon",croque_madame
131,Croque Monsieur and Croque Madame,"bread,butter,cheese,ham,marjoram,egg",croque_madame
132,Croque Madame Casserole With Ham and Gruye\u0300re,"bread,butter,flour,milk,nut,salt,black",croque_madame
134,Croque Madame Pizza,"cheddar,cheese,dijon",croque_madame
135,Croque Madames and a Basic Grilled Cheese,"bread,butter,cheddar,flour,cheese,salt,pepper,milk,bread,sandwiches,ham,egg,oil",croque_madame
136,Baked Croque Madame Rolls,"butter,flour,milk,dijon",croque_madame
137,Triple Decker Croque Madame,"bread,ham,cheese,butter,flour,milk,bay",croque_madame
138,Not-So-Traditional Croque Madame,"milk,butter,flour,cheese,cheese,paprika,bread,sandwich,dijon",croque_madame
139,Croque Madame Sandwich,"butter,flour,milk,nut,salt,pepper,cheese,cheese,sandwiches,brioche,ham,dijon",croque_madame
140,Classic Croque Madame,"brioche,ham,ham,cheese,egg",croque_madame
141,Croque Madame Crepes,"milk,water,butter,flour,salt,butter,flour,dijon",croque_madame
142,Pressed Croque Madame,"bread,butter,butter,ham,cheese,ham,egg,pepper,salt,parsley",croque_madame
143,Asparagus & Gruye\u0300re Croque Madame,"asparagus,bread,ham,cheese,ham,butter,flour,milk,dijon",croque_madame
144,Croque Madame & Monsieur,"butter,bread,cheese,ham,mayonnaise,egg,salt",croque_madame
145,Croque Monsieur and Croque Madame_2,"bread,ham,cheese,butter,flour,fat,salt,black",croque_madame
147,Gyoza,gyoza,gyoza
148,Gyoza_2,"cabbage,pork,garlic,gin,scallions,oil,oil,soy,sugar,salt,pepper,gyoza",gyoza
149,Gyoza_3,"flour,salt,water,potato,cookies,gyoza",gyoza
150,Gyoza_4,"pork,scallions,soy,oil,gin,salt,sugar,spinach,gyoza,oil,water",gyoza
151,Gyoza_5,"gyoza,oil,oil,pork,cabbage,onion,chives,chicken,garlic,gin,potato,flour,miso,soy,salt,pepper,rice,oil",gyoza
152,Vegan Gyoza,"tofu,quinoa,cabbage,scallions,garlic,gin,oil,soy,sake,potato,salt,pepper,shiitake,gyoza",gyoza
153,Homemade Gyoza,"pork,cabbage,salt,shiitake,garlic,gin,onion,soy,oil,corn",gyoza
154,Vegan Gyoza_2,"tofu,quinoa,cabbage,scallions,garlic,gin,oil,soy,sake,potato,salt,pepper,mushroom,gyoza",gyoza
155,Shrimp Gyoza,deveined,gyoza
156,Gyoza_6,"oil,cabbage,onion,garlic,carrot,pork,egg,oil,wonton",gyoza
157,Pork and Shiitake Gyoza,"pork,cabbage,scallions,mushroom,gyoza,oil,water,sake,mirin,salt,soy,oil,pepper,ponzu,oil,seeds",gyoza
158,Gyoza - Japanese Potstickers,"cabbage,pork,dark",gyoza
159,Age Gyoza (Fried Dumplings),gyoza,gyoza
160,Japanese Pork Gyoza,"cabbage,egg,soy,onion,pork,wonton",gyoza
161,Gyoza (Japanese Potstickers),"pork,coleslaw,gin,garlic,sugar,soy,oil,gyoza",gyoza
162,Mushi-Gyoza (Steamed Gyoza),"pork,mushroom,onion,gin,garlic,corn",gyoza
163,Pork & Ginger Potstickers (Gyoza),gyoza,gyoza
164,Fried Pork Gyoza,"gyoza,pork,onion,garlic,carrot,cabbage,oil,salt,rice,soy,gin,brown",gyoza
165,Mrs. Brogan's Curry Gyoza,"potato,beef,onion,carrot,garlic,oil,curry,turmeric,salt,gyoza,ling,peas,dipping,ketchup,soy,lemon",gyoza
166,How To Make Grandma Machie's Gyoza,gyoza,gyoza
167,Gyoza Sauce,"rice,soy,pepper,cloves,gin,onion,oil",gyoza
168,Shrimp Gyoza (Japanese Potstickers),"cabbage,water,shrimp,onion,gin,sake,salt,oil,katakuriko,gyoza",gyoza
169,Crispy Shrimp Gyoza,"prawn,salt,pepper,gyoza",gyoza
170,Gyoza Recipe (Japanese Pan-fried Dumplings),"gyoza,oil,water,pork,cabbage,gin,garlic,corn",gyoza
171,Pork & Celery Dumplings (Gyoza),"pork,celery,onion,gin,garlic,corn",gyoza
172,Chicken Gyoza (Pot Stickers),gyoza,gyoza
173,Classic Pork Gyoza From 'Japanese Soul Cooking',"cabbage,salt,garlic,gin,pork,soy,oil,black",gyoza
174,Miso Roasted Eggplant Gyoza,"egg,gyoza",gyoza
175,Surprise Gyoza,"peach,pluots,agave",gyoza
176,Gyoza Sauce_2,"soy,rice,oil,sriracha,sugar,gin",gyoza
177,SPICY GYOZA IN CHILLI OIL,"gyoza,chilli,water,sugar,vinegar,onion",gyoza
178,Napa Cabbage Gyoza,"salt,cabbage,garlic,gin,onion,pork,gyoza",gyoza
179,Napa Cabbage Gyoza_2,"cabbage,salt,garlic,gin,onion,pork,gyoza",gyoza
180,Baked Pizza Gyoza,gyoza,gyoza
181,Miso Pork Ramen with Gyoza,"ramen,chives,miso,mirin,oil,garlic,onion,pork,shiitake,dashi,soy,gyoza,onion,seeds",gyoza
182,Gyoza Recipe (Japanese Pork and Shrimp Pot Stickers),"cabbage,salt,garlic,gin,chives,pork,shrimp,sugar,black",gyoza
183,Pork & cabbage Gyozas,gyoza,gyoza
184,Pork Gyoza,"pork,cabbage,shiitake,garlic,gin,pepper,coriander,onion,oil,hoisin,soy,pepper,oil,won",gyoza
185,Crab & Bok Choy Gyoza,gyoza,gyoza
186,Mushi-Gyoza (Steamed Gyoza)_2,"pork,mushroom,onion,gin,garlic,corn",gyoza
187,Pork & Celery Dumplings (Gyoza)_2,"pork,celery,onion,gin,garlic,corn",gyoza
188,Pan-fried Gyoza with Crispy Lattice Coating,"pork,cabbage,onion,soy,sake,oil,gin,salt,pepper,gyoza",gyoza
189,Gyoza Recipe (Japanese Pan-Fried Dumplings),"cabbage,salt,pork,gin,garlic,onion,miso,oil,pepper,sugar,ling,dumplings,water,dipping,soy,rice,oil",gyoza
190,Beef Pot Stickers (Gyoza),"beef,carrot,onion,garlic,black",gyoza
192,Mushroom Gyoza,"oil,salt,mushroom,garlic,scallions,tamari,oil,sambal",gyoza
193,Crab Cakes,"egg,mayonnaise,parsley,old",crab_cakes
194,OLD BAY\u00ae Crab Cakes,"bread,mayonnaise,old",crab_cakes
195,Crab Cakes_2,"crab,bread,scallions,pepper,lemon,mustard,mayonnaise,egg,oil,mustard,lime,cayenne",crab_cakes
196,Maryland Crab Cakes with Quick Tartar Sauce,"egg,mayonnaise,dijon",crab_cakes
197,Maryland-Style Crab Cakes,"crab,egg,mayonnaise,mustard,worcestershire,lemon,pepper,old",crab_cakes
198,Baltimore Crab Cakes,"mayonnaise,egg,dijon",crab_cakes
199,Crab Cakes_3,"onion,parsley,mayonnaise,dijon",crab_cakes
200,Sinful Bayou Crab Cakes,"crab,salt,mayonnaise,mustard,egg,worcestershire,pepper,creole,old",crab_cakes
201,Crab Cakes_4,"bread,mayonnaise,pepper,onion,cumin,paprika,salt,pepper,crab,oil",crab_cakes
202,Pure and Simple Crab Cakes,"crab,bread,parsley,mayonnaise,egg,old",crab_cakes
203,Paleo Crab Cakes,"crab,cauliflower,egg,coconut,ale,parsley,salt,old",crab_cakes
204,Easy Light Crab Cakes,"crab,salt,egg,mustard,greek",crab_cakes
205,Low Carb Crab Cakes,"crab,pepper,pepper,parsley,mayonnaise,egg,baking,worcestershire,crab,oil,dijon",crab_cakes
206,Grandma's Crab Cakes,"egg,worcestershire,lemon,mustard,mayonnaise,mustard,old",crab_cakes
207,Fresh Crab Cakes,"chives,parsley,canola,lemon,lemon,black",crab_cakes
208,Crab Cakes_5,"bread,crab,mayonnaise,worcestershire,egg,butter,lemon",crab_cakes
209,Crab Cakes_6,"crab,egg,mayonnaise,dijon",crab_cakes
210,The Ultimate Crab Cakes,"gin,onion,cloves,crab,bread,mayonnaise,egg,lime,cilantro,salt,black",crab_cakes
211,Mini Crab Cakes,"mayonnaise,egg,dijon",crab_cakes
212,Crab Cakes with Spicy Remoulade Sauce,"crab,mayonnaise,dijon",crab_cakes
213,Crab Cakes_7,"onion,chives,parsley,lemon,crab,mayonnaise,bread,pepper,salt,flour,egg,water,bread,paprika,oregano,garlic,oil",crab_cakes
214,Easy No-Filler Crab Cakes,"mayonnaise,dijon",crab_cakes
215,Maryland Crab Cakes,"crab,egg,mayonnaise,dijon",crab_cakes
216,Ultimate Crab Cakes,"mayonnaise,seafood,parsley,mustard,egg,pepper,onion,cheese,crab,salt,pepper,panko",crab_cakes
217,Red Lobster Crab Cakes,"garlic,onion,celery,mayonnaise,egg,salt,black",crab_cakes
218,Signature Crab Cakes,"crab,oil,onion,pepper,pepper,egg,bread,dijon",crab_cakes
219,Quick Crab Cakes with Remoulade,"crab,pepper,mayonnaise,black",crab_cakes
220,Original Old Bay Crab Cakes,"bread,milk,mayonnaise,worcestershire,parsley,baking,old",crab_cakes
221,Maryland Crab Cakes with Quick Tartar Sauce_2,"egg,mayonnaise,dijon",crab_cakes
222,Original Old Bay Crab Cakes_2,"bread,milk,mayonnaise,worcestershire,parsley,baking,old",crab_cakes
223,Maryland Crab Cakes_2,"crab,egg,bread,fat,lemon,mustard,old",crab_cakes
224,Shirley Phillips Crab Cakes,"crab,seafood,egg,worcestershire,mustard,mayonnaise,lemon,mustard,butter,parsley,bread",crab_cakes
225,Crab Cakes_8,"crab,crackers,mayonnaise,egg,dijon",crab_cakes
226,Crab Cakes_9,"crab,lemon,apple,onion,garlic,onion,garlic,cayenne,salt,black",crab_cakes
227,Crab Cakes_10,"bread,onion,dill,fat,black",crab_cakes
228,Crab Cakes_11,"onion,parsley,crab,bread,flour,mayonnaise,dijon",crab_cakes
229,Crab Cakes_12,"mayonnaise,egg,butter,worcestershire,lemon,dill,salt,cayenne",crab_cakes
230,Maryland Crab Cakes_3,"mayonnaise,dijon",crab_cakes
231,Quick Crab Cakes,"chips,crab,tartar,dijon",crab_cakes
232,Crab Cakes_13,"egg,mayonnaise,lemon,garlic,dijon",crab_cakes
233,Crab Cakes_14,"crab,lemon,pimentos,onion,egg,mayonnaise,old",crab_cakes
234,Pan Fried Crab Cakes,"butter,onion,pepper,bread,crab,egg,salt,pepper,cajun,old",crab_cakes
235,Crab Cakes_15,"crab,bread,onion,pepper,mayonnaise,egg,worcestershire,mustard,garlic,cayenne",crab_cakes
236,Crab Cakes with Re\u0301moulade Sauce,"bread,salt,pepper,celery,onion,garlic,butter,shrimp,dijon",crab_cakes
237,Crab Cakes_16,"crab,crackers,pepper,pepper,mayonnaise,parsley,garlic,mustard,worcestershire,paprika,black",crab_cakes
238,Low Carb Crab Cakes_2,"crab,pepper,pepper,parsley,mayonnaise,egg,baking,worcestershire,crab,oil,dijon",crab_cakes
239,Crab Cakes_17,"bread,onion,fat,lemon,dijon",crab_cakes
240,Confetti Crab Cakes,"crab,bread,scallions,pepper,old",crab_cakes
241,Mini Crab Cakes_2,"cheese,cheese,egg,lemon,chives,salt,cayenne",crab_cakes
242,Crab Cakes_18,"chicken,sherry,celery,onion,parsley,egg,bread,crab,flour,gin,shallot,butter,parsley,pepper,salt",crab_cakes
243,Carrot Cake,"flour,sugar,salt,baking,cinnamon,oil,egg,vanilla,nut,coconut,carrot,apple,cheese,butter,sugar,lemon",carrot_cake
244,Carrot Cake_2,"almond,salt,baking,cinnamon,nut,egg,agave",carrot_cake
245,Carrot Cake_3,"flour,baking,salt,cinnamon,sugar,oil,egg,vanilla,carrot,nut,raisins,apple,butter,cake,cheese,sugar",carrot_cake
246,Moist Carrot Cake,"carrot,apple,sugar,oil,egg,vanilla,flour,baking,cinnamon,nut,cheese,butter,vanilla,sugar,pecan",carrot_cake
247,Carrot Cake_4,"flour,sugar,baking,cinnamon,salt,carrot,oil,egg,cheese,butter,pecan,vanilla",carrot_cake
248,Homemade Carrot Cake,"butter,sugar,brown",carrot_cake
249,Moist Carrot Cake_2,"sugar,oil,egg,carrot,flour,baking,salt,cinnamon,butter,cheese,sugar,vanilla",carrot_cake
250,Best Ever Carrot Cake,"sugar,egg,carrot,apple,oil,flour,salt,baking,cinnamon,cheese,sugar,vanilla,pecan",carrot_cake
251,Homemade Carrot Cake_2,"egg,oil,apple,brown",carrot_cake
252,Our Favorite Carrot Cake,"flour,baking,baking,salt,cinnamon,sugar,oil,egg,carrot,apple,pecan,coconut,butter,cheese,vanilla,sugar",carrot_cake
253,Super Moist Carrot Cake with Cream Cheese Frosting,"flour,flour,sugar,coconut,baking,salt,cinnamon,oil,egg,vanilla,carrot,apple,nut,cheese,sugar,vanilla",carrot_cake
254,Pineapple Pecan Carrot Cake with Vanilla Buttercream Frosting,"flour,baking,baking,cinnamon,nut,salt,sugar,oil,egg,vanilla,carrot,apple,pecan,water,egg,tartar,butter",carrot_cake
255,Carrot Cake_5,"oil,egg,sugar,cinnamon,baking,baking,salt,flour,pecan,carrot,cheese,cheese,butter,vanilla,sugar",carrot_cake
256,Layered Carrot Cake with Pineapple Cream Cheese Frosting,"carrot,flour,sugar,brown",carrot_cake
257,Sam's Famous Carrot Cake,"egg,butter,oil,sugar,vanilla,cinnamon,salt,flour,baking,carrot,coconut,nut,apple,raisins",carrot_cake
258,Carrot Cake_6,"sugar,oil,egg,vanilla,flour,baking,cinnamon,gin,nut,salt,raisins,pecan,carrot,apple,cheese,butter,milk,sugar",carrot_cake
259,Carrot Cake_7,"flour,sugar,brown",carrot_cake
260,the BEST Carrot Cake,"egg,min,flour,sugar,baking,cinnamon,baking,carrot,oil,cheese,butter,sugar,vanilla",carrot_cake
261,Classic Carrot Cake,"carrot,butter,cinnamon,egg,flour",carrot_cake
262,Slow Cooker Gluten-free Carrot Cake,"cake,egg,sugar,brown",carrot_cake
263,Carrot Cake_8,"carrot,flour,salt,baking,baking,cinnamon,sugar,oil,milk,egg,vanilla,coconut,cheese,sugar,butter,eel",carrot_cake
264,Slow Cooker Carrot Cake,"apple,carrot,raisins,brown",carrot_cake
265,Carrot Cake_9,"flour,baking,cinnamon,salt,nut,butter,date,banana,carrot,plain",carrot_cake
266,Homemade Carrot Cake_3,"egg,oil,sugar,brown",carrot_cake
267,Carrot Cake_10,"flour,baking,salt,cinnamon,sugar,oil,egg,carrot,nut,raisins,gin,butter,cheese,sugar,vanilla",carrot_cake
268,Carrot Cake!,"oil,sugar,flour,baking,baking,salt,cinnamon,egg,carrot,nut,cheese,butter,sugar,vanilla",carrot_cake
269,Carrot Cake_11,"sugar,oil,egg,flour,cinnamon,baking,vanilla,salt,carrot,nut,cheese,butter,milk,sugar,nut",carrot_cake
270,Carrot Cake_12,"flour,sugar,cinnamon,vanilla,salt,baking,baking,oil,egg,carrot,cheese,butter,sugar",carrot_cake
271,Carrot Cake_13,"sugar,flour,salt,cinnamon,baking,oil,egg,carrot,nut,cheese,whipping,vanilla,sugar",carrot_cake
272,Moist Carrot Cake_3,"flour,baking,baking,salt,cinnamon,egg,oil,sugar,carrot,apple,nut,coconut",carrot_cake
273,Simple Carrot Cake,"sugar,butter,egg,cinnamon,baking,vanilla",carrot_cake
274,Carrot Cake_14,"egg,oil,sugar,vanilla,flour,baking,baking,salt,cinnamon,carrot,butter,cheese,sugar,whipping",carrot_cake
275,Carrot Cake_15,"butter,flour,sugar,baking,baking,cinnamon,cloves,nut,allspice,salt,oil,egg,carrot,cheese,vanilla,sugar",carrot_cake
276,Carrot Cake_16,"flour,baking,baking,cinnamon,salt,carrot,nut,coconut,raisins,sugar,oil,egg,cheese,butter,sugar,lemon,nut,coconut",carrot_cake
277,Mama Dip's Carrot Cake,"flour,cinnamon,baking,salt,sugar,oil,egg,vanilla,carrot,nut,cheese,butter,sugar",carrot_cake
278,Perfect Carrot Cake,"carrot,oil,sugar,brown",carrot_cake
279,Ultimate Carrot Cake,nonstick,carrot_cake
280,Carrot Cake_17,"flour,baking,baking,salt,cinnamon,sugar,nut,oil,egg,carrot,apple,coconut,icing,cheese,butter,vanilla",carrot_cake
281,Moist Carrot Cake_4,"flour,baking,baking,salt,cinnamon,egg,oil,sugar,carrot,apple,nut,coconut",carrot_cake
283,Carrot Cakes,"cake,carrot,nut,sugar,cinnamon,cheese,sugar",carrot_cake
284,Carrot Cake_18,"flour,baking,baking,cinnamon,gin,salt,brown",carrot_cake
285,Carrot Cake_19,"apple,flour,baking,salt,cinnamon,egg,sugar,butter,oil,vanilla,carrot,coconut,nut,cheese,sugar,chips",carrot_cake
286,Old Fashioned Carrot Cake,"carrot,flour,sugar,egg,oil,baking,salt,vanilla,cinnamon",carrot_cake
287,The Ultimate Carrot Cake,"flour,baking,salt,cinnamon,egg,sugar,oil,butter,vanilla,carrot,apple,coconut,pecan,butter,corn",carrot_cake
288,Raw Carrot Cake,"carrot,nut,coconut,date,coconut,cinnamon,salt",carrot_cake
289,Carrot Cake_20,"flour,baking,baking,salt,cinnamon,nut,egg,oil,apple,brown",carrot_cake
290,Marsha's Outrageous Carrot Cake,"cake,sugar,flour,baking,salt,cinnamon,gin,oil,vanilla,egg,carrot,nut,cheese,butter,cheese,sugar,coconut",carrot_cake
291,Deliciously Moist Carrot Cake,"nut,carrot,flour,baking,baking,cinnamon,nut,salt,egg,brown",carrot_cake
292,The Best Carrot Cake,"flour,sugar,corn",carrot_cake
293,Our House Pakistani Chicken Curry.,"gin,garlic,salt,chili,coriander,curry,cumin,turmeric,oil,onion,tomato,tomato,chicken,coriander,garam",chicken_curry
294,Chicken Curry,"oil,potato,carrot,onion,garlic,chicken,fish,coconut,water,pepper,pepper,curry,salt",chicken_curry
295,Chicken Curry with Coconut Milk,"oil,cumin,garam",chicken_curry
